_time,uuid,type,count,avg_time_ms,interval,info
1612099985,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42794,0.234,10,
1612099995,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42758,0.234,10,
1612100005,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42814,0.234,10,
1612100015,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42672,0.234,10,
1612100025,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42230,0.237,10,
1612100035,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42805,0.234,10,
1612100045,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42816,0.234,10,
1612100055,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42820,0.234,10,
1612100065,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42468,0.235,10,
1612100075,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42683,0.234,10,
1612100085,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42180,0.237,10,
1612100095,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42722,0.234,10,
1612100105,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42490,0.235,10,
1612100115,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42561,0.235,10,
1612100125,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42622,0.235,10,
1612100135,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41598,0.240,10,
1612100145,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40482,0.247,10,
1612100155,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,37794,0.265,10,
1612100165,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41203,0.243,10,
1612100175,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41880,0.239,10,
1612100185,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42106,0.237,10,
1612100195,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42369,0.236,10,
1612100205,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42467,0.235,10,
1612100215,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42468,0.235,10,
1612100225,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41640,0.240,10,
1612100235,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41182,0.243,10,
1612100245,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41602,0.240,10,
1612100255,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41734,0.240,10,
1612100265,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41768,0.239,10,
1612100275,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41569,0.241,10,
1612100285,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41881,0.239,10,
1612100295,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41948,0.238,10,
1612100295,bab61d02-47b5-4a94-a91d-fd5e0d92723f,end,,,
